run_id,benchmark,kernel,group,arm,model,repeat,dp_alone_trials,dp_alone_outcomes,dp_alone_parallel,dp_alone_speedup_vs_seq,agent_outcome,agent_speedup_vs_seq,agent_vs_dp_alone,timing_comparable,rewrites_kept,llm_calls,verdict
t0_11_classes_b,polybench/gemver,gemver,,discopop_capability,none,1,0,,,,parallel-speed-not-measurable,,,,0,0,no-baseline
t0_11_classes_b,polybench/gesummv,gesummv,,discopop_capability,none,1,0,,,,parallel-speed-not-measurable,,,,0,0,no-baseline
t0_11_classes_b,polybench/gramschmidt,gramschmidt,,discopop_capability,none,1,0,,,,FASTER,8.562,,,0,0,no-baseline
t0_11_classes_b,polybench/jacobi-1d-imper,jacobi-1d-imper,,discopop_capability,none,1,0,,,,parallel-speed-not-measurable,,,,0,0,no-baseline
t0_11_classes_b,polybench/jacobi-2d-imper,jacobi-2d-imper,B,discopop_capability,none,1,0,,,,FASTER,6.035,,,0,0,no-baseline
t0_11_classes_b,polybench/lu,lu,C,discopop_capability,none,1,0,,,,parallel-not-faster,0.211,,,0,0,no-baseline
t0_11_classes_b,polybench/ludcmp,ludcmp,,discopop_capability,none,1,0,,,,parallel-not-faster,0.154,,,0,0,no-baseline
t0_11_classes_b,polybench/mvt,mvt,,discopop_capability,none,1,0,,,,parallel-speed-not-measurable,,,,0,0,no-baseline
t0_11_classes_b,polybench/reg_detect,reg_detect,,discopop_capability,none,1,0,,,,parallel-speed-not-measurable,,,,0,0,no-baseline
t0_11_classes_b,polybench/seidel-2d,seidel-2d,C,discopop_capability,none,1,0,,,,no-change,1.0,,,0,0,no-baseline
t0_11_classes_b,polybench/symm,symm,,discopop_capability,none,1,0,,,,FASTER,1.351,,,0,0,no-baseline
t0_11_classes_b,polybench/syr2k,syr2k,,discopop_capability,none,1,0,,,,FASTER,9.261,,,0,0,no-baseline
t0_11_classes_b,polybench/syrk,syrk,,discopop_capability,none,1,0,,,,FASTER,6.354,,,0,0,no-baseline
t0_11_classes_b,polybench/trisolv,trisolv,C,discopop_capability,none,1,0,,,,no-change,1.0,,,0,0,no-baseline
t0_11_classes_b,rodinia-3.1/hotspot,hotspot,A,discopop_capability,none,1,0,,,,no-change,1.0,,,0,0,no-baseline
t0_11_classes_b,rodinia-3.1/pathfinder,pathfinder,,discopop_capability,none,1,0,,,,parallel-speed-not-measurable,,,,0,0,no-baseline
t0_11_classes_b,tsvc/s000,s000,,discopop_capability,none,1,0,,,,FASTER,3.835,,,0,0,no-baseline
t0_11_classes_b,tsvc/s112,s112,,discopop_capability,none,1,0,,,,no-change,1.0,,,0,0,no-baseline
t0_11_classes_b,tsvc/s121,s121,,discopop_capability,none,1,0,,,,no-change,1.0,,,0,0,no-baseline
t0_11_classes_b,tsvc/s1213,s1213,,discopop_capability,none,1,0,,,,no-change,1.0,,,0,0,no-baseline
t0_11_classes_b,tsvc/s127,s127,,discopop_capability,none,1,0,,,,no-change,1.0,,,0,0,no-baseline
t0_11_classes_b,tsvc/s211,s211,,discopop_capability,none,1,0,,,,no-change,1.0,,,0,0,no-baseline
t0_11_classes_b,tsvc/s212,s212,,discopop_capability,none,1,0,,,,PROFILE_ERROR,,,,,,no-baseline
t0_11_classes_b,tsvc/s241,s241,,discopop_capability,none,1,0,,,,no-change,1.0,,,0,0,no-baseline
t0_11_classes_b,tsvc/s243,s243,,discopop_capability,none,1,0,,,,no-change,1.0,,,0,0,no-baseline
t0_11_classes_b,tsvc/s244,s244,,discopop_capability,none,1,0,,,,no-change,1.0,,,0,0,no-baseline
t0_11_classes_b,tsvc/s252,s252,,discopop_capability,none,1,0,,,,PROFILE_ERROR,,,,,,no-baseline
t0_11_classes_b,tsvc/s254,s254,,discopop_capability,none,1,0,,,,no-change,1.0,,,0,0,no-baseline
t0_11_classes_b,tsvc/s255,s255,,discopop_capability,none,1,0,,,,no-change,1.0,,,0,0,no-baseline
t0_11_classes_b,tsvc/s281,s281,,discopop_capability,none,1,0,,,,no-change,1.0,,,0,0,no-baseline
t0_11_classes_b,tsvc/s291,s291,,discopop_capability,none,1,0,,,,no-change,1.0,,,0,0,no-baseline
t0_11_classes_b,tsvc/s292,s292,,discopop_capability,none,1,0,,,,no-change,1.0,,,0,0,no-baseline
t0_11_classes_b,tsvc/s293,s293,,discopop_capability,none,1,0,,,,PROFILE_ERROR,,,,,,no-baseline
t0_11_classes_b,tsvc/s3112,s3112,,discopop_capability,none,1,0,,,,no-change,1.0,,,0,0,no-baseline
t0_11_classes_b,tsvc/s313,s313,,discopop_capability,none,1,0,,,,PROFILE_ERROR,,,,,,no-baseline
t0_11_classes_b,tsvc/s321,s321,,discopop_capability,none,1,0,,,,no-change,1.0,,,0,0,no-baseline
t0_11_classes_b,tsvc/s322,s322,,discopop_capability,none,1,0,,,,PROFILE_ERROR,,,,,,no-baseline
t0_11_classes_b,tsvc/s323,s323,,discopop_capability,none,1,0,,,,no-change,1.0,,,0,0,no-baseline
t0_11_classes_b,tsvc/s331,s331,,discopop_capability,none,1,0,,,,no-change,1.0,,,0,0,no-baseline
t0_11_classes_b,tsvc/s341,s341,,discopop_capability,none,1,0,,,,no-change,1.0,,,0,0,no-baseline
t0_11_classes_b,tsvc/vpvtv,vpvtv,,discopop_capability,none,1,0,,,,FASTER,4.107,,,0,0,no-baseline
